lat,lng,trueNorth,magNorth,magX,magY,magZ,magnitude,signal,         snf0,snf1,snf2,snf3
37.410390,-122.059652,359.150360,345.375061,4.400223,18.003384,-17.075195,25.200121,9,-82,-88,-82,-82
37.410390,-122.059652,359.203644,345.428345,4.549461,18.119869,-17.156361,25.364699,9,-82,-88,-82,-82
37.410390,-122.059652,359.195526,345.420227,5.030373,17.770390,-17.334900,25.329630,9,-82,-88,-82,-82
37.410390,-122.059652,359.185760,345.410461,4.781631,18.119877,-16.961578,25.276255,9,-82,-88,-82,-82
37.410390,-122.059652,359.193909,345.418610,4.864525,17.903530,-16.880424,25.082837,9,-88,-78,-82,-82
37.410390,-122.059652,359.183044,345.407745,4.930862,17.803684,-17.140125,25.200565,9,-88,-78,-82,-82
37.410390,-122.059652,359.175293,345.399994,4.881119,17.853611,-17.383598,25.392248,9,-88,-78,-82,-82
37.410390,-122.059652,359.144165,345.368866,5.063515,18.003384,-17.107658,25.346262,9,-88,-78,-82,-82
37.410390,-122.059652,359.172852,345.397552,4.400185,17.936817,-17.237507,25.263069,9,-88,-78,-82,-82
37.410390,-122.059652,359.171906,345.396606,5.113243,17.920177,-17.513439,25.573396,9,-88,-78,-82,-82
37.410390,-122.059652,359.132935,345.357635,4.964005,18.236370,-17.562134,25.799905,9,-88,-78,-82,-82
37.410390,-122.059652,359.147797,345.372498,4.764999,18.336216,-17.367352,25.701108,9,-88,-78,-82,-82
37.410390,-122.059652,359.145447,345.370148,4.997154,18.169811,-17.594597,25.781455,9,-88,-78,-82,-82
37.410390,-122.059652,359.142456,345.367157,4.997147,17.936832,-17.562138,25.595510,9,-81,-81,-79,-79
37.410390,-122.059652,359.109680,345.334381,5.361977,17.936832,-17.237511,25.448232,9,-81,-81,-79,-79
37.410390,-122.059652,359.079376,345.304077,4.864479,17.803684,-17.205051,25.231887,9,-81,-81,-79,-79
37.410390,-122.059652,359.116028,345.340729,4.582565,18.253010,-17.156361,25.465918,9,-81,-81,-79,-79
37.410390,-122.059652,359.161316,345.386017,4.748398,17.986744,-17.221287,25.350403,9,-81,-81,-79,-79
37.410390,-122.059652,359.166840,345.391541,4.798157,18.003384,-17.237518,25.382596,9,-81,-81,-79,-79
37.410390,-122.059652,359.204681,345.429382,4.648911,18.086582,-17.740692,25.757892,9,-81,-81,-79,-79
37.410390,-122.059652,359.220062,345.444763,4.682083,17.753750,-17.156353,25.128828,9,-81,-81,-79,-79
37.410390,-122.059652,359.270050,345.494751,4.449905,17.953457,-16.734337,24.943262,9,-81,-81,-79,-79
37.410390,-122.059652,359.313049,345.537750,4.632309,18.269650,-16.912884,25.323586,9,-86,-82,-83,-83
37.410390,-122.059652,359.347626,345.572327,4.698631,18.302937,-17.367359,25.665147,9,-86,-82,-83,-83
37.410390,-122.059652,359.346008,345.570709,4.947365,18.485996,-17.578369,25.984756,9,-86,-82,-83,-83
37.410390,-122.059652,359.353302,345.578003,4.698608,17.903538,-17.334892,25.359654,9,-86,-82,-83,-83
37.410390,-122.059652,359.355804,345.580505,5.113182,17.953465,-17.578369,25.641189,9,-86,-82,-83,-83
37.410390,-122.059652,359.324432,345.549133,5.046852,18.186451,-17.545910,25.769685,9,-86,-82,-83,-83
37.410390,-122.059652,359.329224,345.553925,4.847855,18.253025,-17.416058,25.690342,9,-86,-82,-83,-83
37.410390,-122.059652,359.343964,345.568665,4.881004,18.552570,-16.864178,25.542564,9,-86,-82,-83,-83
37.410390,-122.059652,359.366974,345.591675,4.599106,18.236378,-17.789368,25.887813,11,-86,-82,-83,-83
37.410390,-122.059652,359.387756,345.612457,4.980507,18.319592,-17.416046,25.762988,11,-86,-82,-83,-83
37.410390,-122.059652,359.366425,345.591125,4.914169,18.386158,-17.351116,25.753856,11,-86,-82,-83,-83
37.410390,-122.059652,359.393280,345.617981,4.615685,18.253025,-17.870518,25.958291,11,-80,-89,-86,-86
37.410390,-122.059652,359.403290,345.627991,4.764931,17.737133,-17.529655,25.388960,11,-80,-89,-86,-86
37.410390,-122.059652,359.366272,345.590973,5.345337,17.787052,-17.188801,25.306259,11,-80,-89,-86,-86
37.410390,-122.059652,359.312103,345.536804,4.914185,17.820347,-17.286182,25.308617,11,-80,-89,-86,-86
37.410390,-122.059652,359.321564,345.546265,4.748352,18.053318,-17.026482,25.265989,11,-80,-89,-86,-86
37.410390,-122.059652,359.324249,345.548950,5.096596,18.302944,-17.269951,25.675363,11,-80,-89,-86,-86
37.410390,-122.059652,359.296387,345.521088,4.997086,17.936825,-17.075176,25.263851,11,-80,-89,-86,-86
37.410390,-122.059652,359.288849,345.513550,5.179489,18.053310,-16.831707,25.220140,11,-80,-89,-86,-86
37.410390,-122.059652,359.233032,345.457733,5.162903,17.703831,-17.010258,25.088445,11,-80,-89,-86,-86
37.410390,-122.059652,359.196167,345.420868,5.162903,17.803684,-17.140106,25.246980,11,-81,-82,-80,-80
37.410390,-122.059652,359.182343,345.407043,4.847824,18.020031,-17.221272,25.392816,11,-81,-82,-80,-80
37.410390,-122.059652,359.187653,345.412354,4.831253,18.003391,-17.205040,25.366839,11,-81,-82,-80,-80
37.410390,-122.059652,359.195587,345.420288,4.847824,18.186443,-17.383587,25.621031,11,-81,-82,-80,-80
37.410390,-122.059652,359.180786,345.405487,5.129745,18.003391,-17.399815,25.557581,11,-81,-82,-80,-80
37.410390,-122.059652,359.144806,345.369507,5.196083,18.336216,-16.815483,25.416069,11,-81,-82,-80,-80
37.410390,-122.059652,359.133850,345.358551,4.980507,18.053318,-16.929096,25.245238,11,-81,-82,-80,-80
37.410390,-122.059652,359.128326,345.353027,4.880997,17.953465,-17.383575,25.462516,11,-81,-82,-80,-80
37.410390,-122.059652,359.110748,345.335449,5.030235,18.003391,-17.140099,25.361552,11,-81,-82,-80,-80
37.410390,-122.059652,359.093719,345.318420,5.113159,17.886898,-17.545887,25.572322,11,-81,-82,-80,-80
37.410390,-122.059652,359.064728,345.289429,4.914169,17.886906,-17.448498,25.466459,11,-81,-79,-83,-83
37.410390,-122.059652,359.035400,345.260101,5.279007,18.086613,-17.448490,25.679628,11,-81,-79,-83,-83
37.410390,-122.059652,359.001984,345.226685,4.997093,18.336231,-17.269939,25.679547,11,-81,-79,-83,-83
37.410390,-122.059652,359.025391,345.250092,4.698593,18.269657,-17.237492,25.553635,11,-81,-79,-83,-83
37.410390,-122.059652,359.023499,345.248199,4.963928,17.936817,-17.691975,25.678317,11,-81,-79,-83,-83
37.410390,-122.059652,359.024170,345.248871,4.831261,17.670544,-17.399803,25.265438,11,-81,-79,-83,-83
