lat,lng,trueNorth,magNorth,magX,magY,magZ,magnitude,signal,         snf0,snf1,snf2,snf3
37.410390,-122.059652,358.109833,344.334534,5.693565,18.103184,-19.217674,27.008535,11,-86,-90,-87,-87
37.410390,-122.059652,358.075012,344.299713,5.693565,17.936771,-19.152752,26.850928,11,-86,-90,-87,-87
37.410390,-122.059652,358.053802,344.278503,5.395065,17.936779,-19.672161,27.163002,11,-80,-81,-78,-78
37.410390,-122.059652,358.036163,344.260864,5.560898,18.036633,-19.282612,26.982639,11,-80,-81,-78,-78
37.410390,-122.059652,357.987030,344.211731,5.776489,18.452671,-19.558537,27.502823,11,-80,-81,-78,-78
37.410390,-122.059652,357.962006,344.186707,5.809669,18.485958,-19.818241,27.717244,11,-80,-81,-78,-78
37.410390,-122.059652,357.889709,344.114410,6.108170,18.186413,-19.655918,27.466534,11,-80,-81,-78,-78
37.410390,-122.059652,357.866821,344.091522,5.461426,18.169765,-19.185211,26.982214,11,-80,-81,-78,-78
37.410390,-122.059652,357.855194,344.079895,5.627258,18.236317,-19.509846,27.292185,11,-80,-81,-78,-78
37.410390,-122.059652,357.845276,344.069977,5.594101,18.336163,-19.379997,27.259734,11,-80,-81,-78,-78
37.410390,-122.059652,357.819153,344.043854,5.826271,18.103176,-19.152760,26.990714,11,-80,-81,-78,-78
37.410390,-122.059652,357.791656,344.016357,5.726768,18.036602,-19.412468,27.110124,11,-80,-81,-78,-78
37.410390,-122.059652,357.771454,343.996155,5.809677,18.519215,-19.428707,27.462489,11,-80,-81,-78,-78
37.410390,-122.059652,357.754517,343.979218,5.726768,18.369450,-19.477398,27.378853,11,-80,-81,-78,-78
37.410390,-122.059652,357.753784,343.978485,5.610695,18.485935,-19.493626,27.444692,11,-80,-81,-78,-78
37.410390,-122.059652,357.737274,343.961975,5.759926,18.369442,-19.574787,27.455153,11,-80,-81,-78,-78
37.410390,-122.059652,357.720520,343.945221,5.660423,18.436008,-19.509853,27.432849,11,-80,-81,-78,-78
37.410390,-122.059652,357.711639,343.936340,5.594093,18.003330,-19.542316,27.153562,11,-80,-80,-83,-83
37.410390,-122.059652,357.695984,343.920685,5.577515,18.086529,-19.363762,27.077416,11,-80,-80,-83,-83
37.410390,-122.059652,357.679413,343.904114,5.776512,18.452648,-19.428684,27.410620,11,-80,-80,-83,-83
37.410390,-122.059652,357.651062,343.875763,5.925758,18.436008,-19.574772,27.534936,11,-80,-80,-83,-83
