lat,lng,trueNorth,magNorth,magX,magY,magZ,magnitude,signal,         snf0,snf1,snf2,snf3
37.410390,-122.059652,324.434174,310.658875,12.922401,10.081745,-28.989147,33.301662,3,-88,-93,-81,-81
37.410390,-122.059652,324.395386,310.620087,12.972145,10.131672,-28.843067,33.209183,3,-88,-93,-81,-81
37.410390,-122.059652,324.351868,310.576569,13.386719,10.581001,-28.664516,33.358902,3,-88,-93,-81,-81
37.410390,-122.059652,324.319214,310.543915,13.021896,10.447872,-28.437283,32.975853,3,-88,-93,-81,-81
37.410390,-122.059652,324.274567,310.499268,13.088234,10.314728,-28.761898,33.240672,3,-88,-93,-81,-81
37.410390,-122.059652,324.233887,310.458588,13.055077,10.614285,-29.248844,33.743043,3,-82,-92,-82,-82
37.410390,-122.059652,324.223267,310.447968,12.939003,10.497799,-29.070293,33.506769,3,-82,-92,-82,-82
37.410390,-122.059652,324.208954,310.433655,12.955582,10.248177,-28.924221,33.308899,3,-82,-92,-82,-82
37.410390,-122.059652,324.149719,310.374420,13.254089,10.214893,-28.761898,33.275542,3,-82,-92,-82,-82
37.410390,-122.059652,324.129700,310.354401,13.419922,10.647572,-28.989140,33.672471,3,-82,-92,-82,-82
37.410390,-122.059652,324.121674,310.346375,12.839523,10.397949,-28.648281,33.071056,3,-82,-92,-82,-82
37.410390,-122.059652,324.125580,310.350281,13.486267,11.180103,-28.112637,33.123926,3,-82,-92,-82,-82
37.410390,-122.059652,324.098938,310.323639,13.021957,10.214893,-28.274960,32.762612,3,-82,-92,-82,-82
37.410390,-122.059652,324.092133,310.316833,12.872704,10.597656,-28.291187,32.839124,3,-82,-92,-82,-82
37.410390,-122.059652,324.111023,310.335724,13.021935,10.381313,-28.469723,32.982837,3,-84,-84,-82,-82
37.410390,-122.059652,324.099915,310.324615,13.204361,10.664223,-28.843044,33.466431,3,-84,-84,-82,-82
37.410390,-122.059652,324.077942,310.302643,13.237526,10.331379,-28.518421,33.094861,3,-84,-84,-82,-82
37.410390,-122.059652,324.051727,310.276428,12.706871,10.597652,-28.096401,32.606480,3,-84,-84,-82,-82
37.410390,-122.059652,324.034088,310.258789,12.889282,10.081764,-28.567112,32.921960,3,-84,-84,-82,-82
37.410390,-122.059652,323.965210,310.189911,12.955605,9.882061,-28.794353,33.085006,3,-84,-84,-82,-82
37.410390,-122.059652,323.912445,310.137146,13.220947,10.281460,-28.696964,33.226761,3,-84,-84,-82,-82
37.410390,-122.059652,323.896393,310.121094,12.822960,10.214901,-28.664501,33.021601,3,-86,-89,-78,-78
37.410390,-122.059652,323.866852,310.091553,13.071701,10.098400,-28.453495,32.900584,3,-86,-89,-78,-78
37.410390,-122.059652,323.851257,310.075958,12.905869,10.431225,-28.356113,32.854848,3,-86,-89,-78,-78
37.410390,-122.059652,323.842682,310.067383,13.038536,10.497791,-28.323650,32.900398,3,-86,-89,-78,-78
37.410390,-122.059652,323.808685,310.033386,13.320457,10.481159,-28.664516,33.300808,3,-86,-89,-78,-78
37.410390,-122.059652,323.806244,310.030945,12.955643,10.614288,-28.859295,33.367210,3,-86,-89,-78,-78
37.410390,-122.059652,323.840302,310.065002,12.905899,10.464516,-28.648281,33.117855,3,-86,-89,-78,-78
37.410390,-122.059652,323.842102,310.066803,13.021988,10.281460,-28.274960,32.783440,3,-86,-89,-78,-78
37.410390,-122.059652,323.779938,310.004639,13.303894,10.065113,-28.713207,33.207655,3,-86,-89,-78,-78
37.410390,-122.059652,323.769165,309.993866,12.839561,10.464508,-28.583363,33.035873,3,-86,-89,-78,-78
37.410390,-122.059652,323.793701,310.018402,13.021988,10.314735,-28.534664,33.018071,3,-86,-89,-78,-78
37.410390,-122.059652,323.779724,310.004425,12.806419,10.397938,-28.713215,33.114501,3,-82,-79,-76,-76
37.410390,-122.059652,323.776306,310.001007,12.939072,10.098389,-28.291195,32.707625,3,-82,-79,-76,-76
37.410390,-122.059652,323.730804,309.955505,12.856163,10.248169,-28.437283,32.847906,3,-82,-79,-76,-76
37.410390,-122.059652,323.764069,309.988770,12.872726,10.630920,-28.907986,33.382558,3,-82,-79,-76,-76
37.410390,-122.059652,323.777130,310.001831,12.889305,10.514423,-28.469746,32.972924,3,-82,-79,-76,-76
37.410390,-122.059652,323.799652,310.024353,12.773232,10.497780,-28.453518,32.908380,3,-82,-79,-76,-76
37.410390,-122.059652,323.749298,309.973999,13.469711,10.098377,-29.102779,33.621156,3,-82,-79,-76,-76
37.410390,-122.059652,323.736115,309.960815,12.905899,10.764038,-28.875538,33.409930,3,-82,-79,-76,-76
37.410390,-122.059652,323.752380,309.977081,12.905907,10.497772,-28.972927,33.409522,3,-82,-79,-76,-76
37.410390,-122.059652,323.739014,309.963715,12.806412,10.397926,-28.453518,32.889569,3,-82,-79,-76,-76
37.410390,-122.059652,323.664276,309.888977,13.519485,10.115017,-27.982807,32.682221,3,-82,-79,-76,-76
37.410390,-122.059652,323.633484,309.858185,13.121483,10.547699,-28.696987,33.270773,3,-82,-79,-76,-76
37.410390,-122.059652,323.623688,309.848389,12.988815,10.248146,-28.956692,33.350020,3,-82,-89,-81,-81
37.410390,-122.059652,323.617920,309.842621,13.138062,10.397919,-28.648296,33.188104,3,-82,-89,-81,-81
37.410390,-122.059652,323.612762,309.837463,13.171242,10.464485,-29.005383,33.530572,3,-82,-89,-81,-81
37.410390,-122.059652,323.626129,309.850830,12.856155,10.381275,-28.794376,33.198911,3,-82,-89,-81,-81
37.410390,-122.059652,323.653351,309.878052,12.773254,10.364635,-28.453518,32.866159,3,-82,-89,-81,-81
37.410390,-122.059652,323.649445,309.874146,12.773270,9.998516,-28.388592,32.696160,3,-82,-89,-81,-81
37.410390,-122.059652,323.641754,309.866455,13.104919,10.131660,-28.583370,33.036321,3,-82,-89,-81,-81
37.410390,-122.059652,323.613190,309.837891,13.021996,10.048443,-28.599598,32.992129,3,-82,-89,-81,-81
37.410390,-122.059652,323.606079,309.830780,12.740074,10.531055,-28.843075,33.243580,3,-83,-91,-87,-87
37.410390,-122.059652,323.613800,309.838501,13.237564,10.464485,-28.356129,32.997100,3,-83,-91,-87,-87
37.410390,-122.059652,323.572296,309.796997,12.955650,10.414562,-28.210049,32.743226,3,-83,-91,-87,-87
37.410390,-122.059652,323.606720,309.831421,12.922501,10.680828,-28.339901,32.927513,3,-83,-91,-87,-87
37.410390,-122.059652,323.619080,309.843781,12.922501,10.347992,-28.761921,33.186143,3,-83,-91,-87,-87
37.410390,-122.059652,323.659515,309.884216,12.723511,10.680824,-28.924229,33.355340,3,-83,-91,-87,-87
37.410390,-122.059652,323.673676,309.898376,13.337097,10.531055,-29.232632,33.813134,3,-83,-91,-87,-87
37.410390,-122.059652,323.668427,309.893127,13.171265,10.464497,-29.265087,33.755492,3,-83,-91,-87,-87
37.410390,-122.059652,323.685608,309.910309,12.740112,10.364651,-28.810612,33.163049,3,-83,-91,-87,-87
37.410390,-122.059652,323.687653,309.912354,13.154686,10.547707,-28.664547,33.255919,3,-83,-91,-87,-87
37.410390,-122.059652,323.648651,309.873352,13.270775,10.131664,-29.070339,33.523853,3,-83,-91,-87,-87
37.410390,-122.059652,323.587982,309.812683,13.403442,10.331360,-29.232662,33.777771,3,-83,-91,-87,-87
37.410390,-122.059652,323.586853,309.811554,13.104942,10.364643,-28.972965,33.445449,3,-84,-81,-81,-81
37.410390,-122.059652,323.556763,309.781464,13.088364,10.148304,-29.021664,33.414822,3,-84,-81,-81,-81
37.410390,-122.059652,323.535614,309.760315,13.071800,10.298077,-29.330067,33.722028,3,-84,-81,-81,-81
37.410390,-122.059652,323.562592,309.787292,13.088394,10.947102,-28.859341,33.526208,3,-84,-81,-81,-81
37.410390,-122.059652,323.578613,309.803314,12.988892,10.514416,-28.664570,33.180142,3,-84,-81,-81,-81
37.410390,-122.059652,323.599396,309.824097,13.187912,10.813965,-29.054127,33.689837,3,-84,-81,-81,-81
37.410390,-122.059652,323.601410,309.826111,12.906006,10.331360,-28.940495,33.329480,3,-84,-81,-81,-81
37.410390,-122.059652,323.623871,309.848572,12.707008,10.597633,-28.518490,32.970929,3,-84,-81,-81,-81
