lat,lng,trueNorth,magNorth,magX,magY,magZ,magnitude,signal,         snf0,snf1,snf2,snf3
37.410460,-122.059753,140.342316,126.563217,-19.530495,-15.286617,-41.525974,48.368662,4,-83,-82,-81,-81
37.410460,-122.059753,140.337128,126.558029,-19.513916,-14.937244,-41.282562,48.043357,4,-83,-82,-81,-81
37.410460,-122.059753,140.319534,126.540436,-19.580227,-15.170151,-41.217655,48.087564,4,-83,-82,-81,-81
37.410460,-122.059753,140.326416,126.547318,-19.696270,-15.353157,-40.941792,47.957197,4,-83,-82,-81,-81
37.410460,-122.059753,140.350052,126.570953,-19.762583,-15.220062,-41.233883,48.191732,4,-83,-82,-81,-81
37.410460,-122.059753,140.315231,126.536125,-20.044401,-14.903969,-41.120281,48.112200,4,-83,-82,-81,-81
37.410460,-122.059753,140.302811,126.523705,-19.729425,-14.953873,-40.682156,47.622540,4,-83,-82,-81,-81
37.410460,-122.059753,140.305679,126.526581,-19.513914,-14.937233,-40.698380,47.542317,4,-83,-82,-81,-81
37.410460,-122.059753,140.323196,126.544098,-19.397869,-15.286602,-41.006691,47.869680,4,-83,-82,-81,-81
37.410460,-122.059753,140.310806,126.531708,-19.762581,-14.920593,-40.390064,47.376587,4,-83,-80,-71,-71
37.410460,-122.059753,140.291992,126.512894,-19.795738,-15.086960,-40.876873,47.858190,4,-83,-80,-71,-71
37.410460,-122.059753,140.280807,126.501701,-20.094137,-15.153507,-40.779514,47.920475,4,-83,-80,-71,-71
37.410460,-122.059753,140.245636,126.466530,-19.795740,-14.854042,-41.136513,48.007568,4,-83,-80,-71,-71
37.410460,-122.059753,140.231201,126.452095,-19.431023,-14.854038,-40.909325,47.663193,4,-83,-80,-71,-71
37.410460,-122.059753,140.230804,126.451706,-19.762579,-15.120224,-40.844414,47.827260,4,-83,-80,-71,-71
37.410460,-122.059753,140.214920,126.435814,-19.862047,-14.920593,-41.298779,48.194545,4,-83,-80,-71,-71
37.410460,-122.059753,140.212616,126.433517,-19.812315,-15.170135,-41.152729,48.126998,4,-83,-80,-71,-71
37.410460,-122.059753,140.198486,126.419388,-19.878626,-15.170132,-40.665913,47.738968,4,-83,-80,-71,-71
37.410460,-122.059753,140.199799,126.420700,-19.795738,-15.086948,-40.584774,47.608940,4,-80,-86,-86,-86
37.410460,-122.059753,140.208694,126.429596,-19.530491,-15.186764,-40.974228,47.864028,4,-80,-86,-86,-86
37.410460,-122.059753,140.209244,126.430145,-19.596806,-15.153500,-40.941769,47.852813,4,-80,-86,-86,-86
37.410460,-122.059753,140.216782,126.437675,-19.513914,-15.136868,-40.665916,47.577667,4,-80,-86,-86,-86
37.410460,-122.059753,140.220459,126.441360,-19.580225,-15.103596,-40.925545,47.816357,4,-80,-86,-86,-86
37.410460,-122.059753,140.187759,126.408653,-19.762581,-14.720959,-40.941769,47.785925,4,-80,-86,-86,-86
37.410460,-122.059753,140.185059,126.405960,-19.613384,-15.303234,-41.120266,48.059859,4,-80,-86,-86,-86
37.410460,-122.059753,140.184174,126.405067,-19.497337,-14.854042,-41.396122,48.108499,4,-80,-86,-86,-86
37.410460,-122.059753,140.168808,126.389709,-19.679695,-14.671040,-40.763264,47.583332,4,-80,-86,-86,-86
37.410460,-122.059753,140.180344,126.401245,-19.696270,-15.353142,-40.617222,47.680402,4,-80,-86,-86,-86
37.410460,-122.059753,140.179810,126.400703,-19.994673,-14.987137,-40.584763,47.660509,4,-80,-86,-86,-86
37.410460,-122.059753,140.177765,126.398659,-19.232094,-14.854038,-41.168945,47.805836,4,-83,-81,-68,-68
37.410460,-122.059753,140.207977,126.428871,-19.563650,-15.452950,-40.584763,47.630379,4,-83,-81,-68,-68
37.410460,-122.059753,140.255371,126.476273,-19.364717,-15.552769,-40.390034,47.415564,4,-83,-81,-68,-68
37.410460,-122.059753,140.287643,126.508545,-19.414450,-15.469582,-40.633438,47.616227,4,-83,-81,-68,-68
37.410460,-122.059753,140.332794,126.553688,-19.497335,-15.586044,-41.298759,48.256175,4,-83,-81,-68,-68
37.410460,-122.059753,140.368011,126.588905,-19.314981,-15.103588,-40.957989,47.736189,4,-83,-81,-68,-68
37.410460,-122.059753,140.374527,126.595428,-19.629955,-15.220036,-40.974216,47.915249,4,-83,-81,-68,-68
37.410460,-122.059753,140.370468,126.591370,-19.596802,-15.153500,-40.779488,47.714042,4,-83,-81,-68,-68
37.410460,-122.059753,140.369904,126.590805,-19.613380,-14.970490,-41.087814,47.927119,4,-83,-81,-68,-68
37.410460,-122.059753,140.345825,126.566719,-20.193604,-15.186764,-41.688213,48.747580,4,-83,-82,-83,-83
37.410460,-122.059753,140.320618,126.541512,-20.160448,-15.153496,-41.233852,48.335315,4,-83,-82,-83,-83
37.410460,-122.059753,140.315018,126.535919,-19.928360,-15.319859,-41.039120,48.125325,4,-83,-82,-83,-83
37.410460,-122.059753,140.306091,126.526993,-20.044405,-15.336506,-40.957985,48.109699,4,-83,-82,-83,-83
37.410460,-122.059753,140.301727,126.522621,-19.563648,-14.987125,-41.233837,48.037273,4,-83,-82,-83,-83
37.410460,-122.059753,140.296249,126.517143,-19.646538,-15.236675,-41.379887,48.274608,4,-83,-82,-83,-83
37.410460,-122.059753,140.282776,126.503677,-20.110710,-15.203407,-40.600983,47.791464,4,-83,-82,-83,-83
37.410460,-122.059753,140.276550,126.497452,-19.878624,-15.203407,-40.795708,47.860141,4,-83,-82,-83,-83
37.410460,-122.059753,140.294342,126.515244,-19.563646,-15.419689,-40.909294,47.896486,4,-83,-82,-83,-83
37.410460,-122.059753,140.316223,126.537125,-19.364712,-15.220055,-40.941753,47.779381,4,-83,-82,-83,-83
37.410460,-122.059753,140.296249,126.517143,-19.812315,-15.070320,-41.152710,48.095612,4,-83,-82,-83,-83
37.410460,-122.059753,140.321503,126.542397,-19.381292,-15.236683,-40.341339,47.278057,4,-83,-82,-83,-83
37.410460,-122.059753,140.318130,126.539032,-20.011248,-14.970497,-41.022877,48.035843,4,-76,-81,-77,-77
37.410460,-122.059753,140.299683,126.520584,-19.978090,-15.037045,-41.055332,48.070543,4,-76,-81,-77,-77
37.410460,-122.059753,140.294632,126.515526,-19.596804,-15.186771,-41.071564,47.974432,4,-76,-81,-77,-77
37.410460,-122.059753,140.299149,126.520050,-19.812315,-15.037048,-40.536060,47.558520,4,-76,-81,-77,-77
37.410460,-122.059753,140.281555,126.502449,-19.994671,-14.854057,-40.909286,47.895716,4,-76,-81,-77,-77
37.410460,-122.059753,140.218689,126.439583,-19.812315,-15.070332,-40.471153,47.513756,4,-76,-81,-77,-77
37.410460,-122.059753,140.250168,126.471069,-19.563648,-15.486233,-40.422470,47.503009,4,-76,-81,-77,-77
37.410460,-122.059753,140.265778,126.486671,-19.712847,-15.436329,-40.828152,47.893784,4,-76,-81,-77,-77
37.410460,-122.059753,140.278519,126.499413,-19.895205,-15.319878,-40.682106,47.807443,4,-76,-81,-77,-77
37.410460,-122.059753,140.272079,126.492973,-19.928360,-14.920605,-40.714565,47.722529,4,-76,-81,-77,-77
37.410460,-122.059753,140.225861,126.446762,-20.143871,-14.837421,-40.990429,48.022285,4,-74,-88,-89,-89
37.410460,-122.059753,140.212921,126.433823,-19.862047,-15.153526,-41.039108,48.045173,4,-74,-88,-89,-89
37.410460,-122.059753,140.200577,126.421471,-19.961514,-14.987164,-40.584747,47.646603,4,-74,-88,-89,-89
37.410460,-122.059753,140.166687,126.387581,-20.060980,-15.120251,-40.357571,47.537337,4,-74,-88,-89,-89
37.410460,-122.059753,140.185303,126.406204,-19.530491,-15.286613,-40.617199,47.590729,4,-74,-88,-89,-89
37.410460,-122.059753,140.197052,126.417953,-19.828894,-15.319878,-40.974201,48.028833,4,-74,-88,-89,-89
37.410460,-122.059753,140.209152,126.430054,-19.696270,-15.220062,-40.714565,47.720742,4,-74,-88,-89,-89
37.410460,-122.059753,140.186417,126.407318,-19.613384,-14.737606,-40.600975,47.437549,4,-74,-88,-89,-89
37.410460,-122.059753,140.191238,126.412140,-19.165785,-15.186794,-40.811928,47.577090,4,-74,-88,-89,-89
37.410460,-122.059753,140.203430,126.424332,-19.580229,-14.970516,-41.250061,48.052776,4,-74,-88,-89,-89
37.410460,-122.059753,140.233215,126.454109,-19.513918,-15.336517,-40.925514,47.863342,4,-74,-88,-89,-89
37.410460,-122.059753,140.232300,126.453194,-19.878626,-15.136883,-40.828152,47.866721,4,-74,-88,-89,-89
37.410460,-122.059753,140.225052,126.445953,-19.547071,-14.870705,-40.957970,47.757524,4,-85,-82,-72,-72
37.410460,-122.059753,140.229492,126.450386,-19.911779,-15.303253,-41.055340,48.127014,4,-85,-82,-72,-72
37.410460,-122.059753,140.195938,126.416832,-20.425692,-14.987164,-40.487385,47.760363,4,-85,-82,-72,-72
37.410460,-122.059753,140.185211,126.406105,-19.762581,-15.253349,-40.682110,47.731104,4,-85,-82,-72,-72
37.410460,-122.059753,140.208893,126.429794,-19.232094,-15.286617,-40.909290,47.719222,4,-85,-82,-72,-72
37.410460,-122.059753,140.251007,126.471901,-19.563646,-14.953884,-41.201374,47.999043,4,-85,-82,-72,-72
37.410460,-122.059753,140.242508,126.463409,-19.961514,-15.419708,-40.422474,47.646677,4,-85,-82,-72,-72
37.410460,-122.059753,140.253357,126.474251,-20.044403,-15.502888,-40.925518,48.135389,4,-85,-82,-72,-72
37.410460,-122.059753,140.257065,126.477966,-19.613382,-14.937244,-40.795696,47.666496,4,-85,-82,-72,-72
37.410460,-122.059753,140.270142,126.491043,-18.933695,-15.153530,-41.136467,47.752730,4,-83,-81,-81,-81
37.410460,-122.059753,140.300644,126.521538,-18.983427,-14.937252,-41.087788,47.662336,4,-83,-81,-81,-81
37.410460,-122.059753,140.338089,126.558990,-18.917116,-15.236706,-40.990421,47.646921,4,-83,-81,-81,-81
37.410460,-122.059753,140.384506,126.605400,-19.099474,-15.452976,-40.844379,47.663904,4,-83,-81,-81,-81
37.410460,-122.059753,140.427673,126.648575,-19.613382,-15.635975,-40.633423,47.751896,4,-83,-81,-81,-81
37.410460,-122.059753,140.438919,126.659813,-19.746004,-15.669239,-40.438694,47.652048,4,-83,-81,-81,-81
37.410460,-122.059753,140.465469,126.686371,-19.629959,-15.652611,-40.682102,47.805575,4,-83,-81,-81,-81
37.410460,-122.059753,140.476532,126.697426,-19.696268,-15.386429,-40.779465,47.829383,4,-83,-81,-81,-81
37.410460,-122.059753,140.473068,126.693962,-19.563646,-15.086971,-41.039101,47.901573,4,-83,-81,-81,-81
37.410460,-122.059753,140.464294,126.685196,-19.530491,-14.953880,-40.617195,47.484894,4,-81,-96,-93,-93
37.410460,-122.059753,140.446793,126.667686,-19.679693,-14.970509,-40.600967,47.537827,4,-81,-96,-93,-93
37.410460,-122.059753,140.412186,126.633080,-19.696270,-14.587872,-40.714561,47.522885,4,-81,-96,-93,-93
37.410460,-122.059753,140.359177,126.580070,-19.928360,-14.354954,-40.844379,47.659916,4,-81,-96,-93,-93
37.410460,-122.059753,140.329010,126.549911,-19.646538,-14.737591,-41.379879,48.119408,4,-81,-96,-93,-93
37.410460,-122.059753,140.321854,126.542747,-19.613380,-14.837414,-41.509701,48.248200,4,-81,-96,-93,-93
37.410460,-122.059753,140.275925,126.496819,-19.828890,-14.521324,-40.844387,47.668833,4,-81,-96,-93,-93
37.410460,-122.059753,140.252121,126.473022,-19.447605,-14.870693,-40.568520,47.383031,4,-81,-96,-93,-93
37.410460,-122.059753,140.268875,126.489769,-19.348135,-14.937233,-41.250061,47.948293,4,-81,-96,-93,-93
37.410460,-122.059753,140.282745,126.503639,-19.613382,-15.203419,-41.022877,47.944813,4,-83,-96,-93,-93
37.410460,-122.059753,140.297256,126.518158,-19.580227,-15.170151,-41.152702,48.031903,4,-83,-96,-93,-93
37.410460,-122.059753,140.318909,126.539810,-19.613380,-15.502888,-40.828163,47.874452,4,-83,-83,-88,-88
37.410460,-122.059753,140.364380,126.585281,-19.447605,-15.569435,-41.022888,47.994729,4,-83,-83,-88,-88
37.410460,-122.059753,140.398987,126.619881,-19.232092,-15.153519,-41.201389,47.927622,4,-83,-83,-88,-88
37.410460,-122.059753,140.413834,126.634735,-19.464180,-15.253342,-40.811939,47.719316,4,-83,-83,-88,-88
37.410460,-122.059753,140.421387,126.642281,-19.746004,-15.203430,-41.444805,48.360323,4,-83,-83,-88,-88
37.410460,-122.059753,140.408051,126.628944,-19.878628,-14.870705,-40.957989,47.894202,4,-83,-83,-88,-88
37.410460,-122.059753,140.380569,126.601463,-19.596804,-14.854080,-40.974220,47.786663,4,-83,-83,-88,-88
37.410460,-122.059753,140.366714,126.587616,-19.862049,-15.086990,-40.779495,47.802568,4,-83,-83,-88,-88
37.410460,-122.059753,140.363602,126.584503,-19.779158,-15.203442,-40.957989,47.957445,4,-83,-83,-88,-88
37.410460,-122.059753,140.364059,126.584953,-19.464180,-15.186810,-41.363670,48.171015,4,-86,-91,-77,-77
37.410460,-122.059753,140.371689,126.592590,-19.414446,-14.903984,-40.990444,47.741659,4,-86,-91,-77,-77
37.410460,-122.059753,140.360565,126.581459,-19.198935,-14.820805,-41.201393,47.810147,4,-86,-91,-77,-77
37.410460,-122.059753,140.366440,126.587341,-19.215513,-15.003803,-40.990440,47.692413,4,-86,-91,-77,-77
37.410460,-122.059753,140.379135,126.600029,-19.397871,-15.186802,-40.941757,47.782254,4,-86,-91,-77,-77
37.410460,-122.059753,140.376053,126.596947,-19.364712,-15.020439,-41.104027,47.855477,4,-86,-91,-77,-77
37.410460,-122.059753,140.381516,126.602409,-19.480761,-15.170174,-40.957985,47.824583,4,-86,-91,-77,-77
37.410460,-122.059753,140.375061,126.595963,-19.530495,-14.953896,-40.714581,47.568228,4,-86,-91,-77,-77
37.410460,-122.059753,140.379288,126.600189,-19.513916,-15.170174,-41.055344,47.921481,4,-86,-91,-77,-77
37.410460,-122.059753,140.386017,126.606918,-20.027826,-15.286644,-40.811939,47.962586,4,-86,-91,-77,-77
37.410460,-122.059753,140.344116,126.565018,-19.629957,-14.687729,-40.617207,47.442829,4,-86,-91,-77,-77
37.410460,-122.059753,140.358795,126.579697,-19.248671,-15.336555,-40.730793,47.589061,4,-80,-75,-89,-89
37.410460,-122.059753,140.367645,126.588547,-19.414448,-15.203468,-41.087795,47.919444,4,-80,-75,-89,-89
37.410460,-122.059753,140.371048,126.591949,-19.828892,-15.253372,-41.104027,48.118513,4,-80,-75,-89,-89
37.410460,-122.059753,140.342484,126.563377,-19.729425,-15.053738,-40.714573,47.681670,4,-80,-75,-89,-89
37.410460,-122.059753,140.335861,126.556755,-19.795736,-15.020462,-40.811935,47.781791,4,-80,-75,-89,-89
37.410460,-122.059753,140.310349,126.531242,-19.729425,-14.754280,-41.428574,48.200267,4,-80,-75,-89,-89
37.410460,-122.059753,140.333771,126.554665,-19.530493,-15.253380,-41.168941,48.051925,4,-80,-75,-89,-89
37.410460,-122.059753,140.327484,126.548386,-19.994671,-15.087002,-41.136482,48.162378,4,-80,-75,-89,-89
37.410460,-122.059753,140.304550,126.525444,-20.027826,-14.987179,-40.844395,47.895657,4,-80,-75,-89,-89
37.410460,-122.059753,140.302841,126.523743,-19.696270,-15.220093,-40.454941,47.499437,4,-80,-75,-89,-89
37.410460,-122.059753,140.291183,126.512077,-19.596806,-14.887363,-40.811939,47.657977,4,-80,-75,-89,-89
37.410460,-122.059753,140.294556,126.515450,-19.331562,-14.987179,-41.363663,48.054942,4,-77,-86,-71,-71
37.410460,-122.059753,140.306046,126.526947,-19.762579,-15.286633,-41.428570,48.379407,4,-77,-86,-71,-71
37.410460,-122.059753,140.321854,126.542755,-19.613380,-15.303272,-41.314980,48.226573,4,-77,-86,-71,-71
37.410460,-122.059753,140.330215,126.551117,-19.895203,-15.186810,-40.454933,47.571629,4,-77,-86,-71,-71
37.410460,-122.059753,140.325500,126.546402,-19.878628,-15.103626,-40.341339,47.441575,4,-77,-86,-71,-71
37.410460,-122.059753,140.330338,126.551231,-19.596804,-15.053715,-40.682117,47.599199,4,-77,-86,-71,-71
37.410460,-122.059753,140.348038,126.568939,-19.464182,-15.286633,-41.104027,47.979960,4,-77,-86,-71,-71
37.410460,-122.059753,140.384140,126.605034,-19.629957,-15.586094,-40.779476,47.866765,4,-77,-86,-71,-71
37.410460,-122.059753,140.377609,126.598511,-19.629957,-14.687717,-41.006660,47.776673,4,-77,-86,-71,-71
37.410460,-122.059753,140.347900,126.568802,-19.845470,-14.937263,-41.250069,48.151144,4,-83,-90,-94,-94
37.410460,-122.059753,140.355743,126.576637,-19.348137,-15.269997,-40.925526,47.774699,4,-83,-90,-94,-94
37.410460,-122.059753,140.369308,126.590202,-19.828894,-15.386459,-40.747025,47.856537,4,-83,-90,-94,-94
37.410460,-122.059753,140.395813,126.616714,-19.497335,-15.120270,-40.876842,47.746046,4,-83,-90,-94,-94
37.410460,-122.059753,140.384995,126.605888,-19.248669,-14.504723,-41.152710,47.691129,4,-83,-90,-94,-94
37.410460,-122.059753,140.353058,126.573952,-19.082890,-14.471451,-40.860619,47.362113,4,-83,-90,-94,-94
37.410460,-122.059753,140.373672,126.594566,-19.464180,-15.253380,-41.039108,47.913759,4,-83,-90,-94,-94
37.410460,-122.059753,140.394287,126.615181,-19.182358,-15.136921,-40.698345,47.470460,4,-83,-90,-94,-94
37.410460,-122.059753,140.391464,126.612366,-19.762581,-14.887375,-40.941746,47.837434,4,-83,-90,-94,-94
37.410460,-122.059753,140.356903,126.577797,-19.679691,-14.571278,-40.698341,47.497025,4,-83,-90,-94,-94
37.410460,-122.059753,140.336700,126.557602,-19.895203,-15.053738,-41.039108,48.027518,4,-83,-90,-94,-94
37.410460,-122.059753,140.324158,126.545052,-19.696268,-15.020458,-41.525925,48.352451,4,-83,-90,-94,-94
37.410460,-122.059753,140.330399,126.551300,-19.497339,-15.020451,-41.428566,48.188030,4,-83,-90,-94,-94
37.410460,-122.059753,140.341095,126.561996,-19.431026,-15.186821,-40.811935,47.684572,4,-83,-90,-94,-94
37.410460,-122.059753,140.337418,126.558319,-19.812319,-15.103638,-40.990429,47.967313,4,-80,-73,-70,-70
37.410460,-122.059753,140.341446,126.562340,-19.563650,-15.120274,-40.617195,47.551189,4,-80,-73,-70,-70
37.410460,-122.059753,140.333496,126.554398,-19.779158,-14.870728,-40.795692,47.714171,4,-80,-73,-70,-70
37.410460,-122.059753,140.312485,126.533379,-19.530495,-14.920647,-41.331192,48.086727,4,-80,-73,-70,-70
37.410460,-122.059753,140.282776,126.503670,-19.580229,-14.671097,-40.957966,47.709343,4,-80,-73,-70,-70
37.410460,-122.059753,140.257141,126.478035,-19.845470,-15.136921,-41.477242,48.407960,4,-80,-73,-70,-70
37.410460,-122.059753,140.269653,126.490547,-19.795738,-15.453026,-40.811920,47.919517,4,-80,-73,-70,-70
37.410460,-122.059753,140.267899,126.488792,-19.878626,-15.369839,-40.957970,48.051503,4,-83,-99,-81,-81
37.410460,-122.059753,140.279724,126.500618,-19.596804,-15.253384,-40.844372,47.801288,4,-83,-99,-81,-81
37.410460,-122.059753,140.304779,126.525673,-19.729425,-15.552849,-40.909283,48.007403,4,-83,-99,-81,-81
37.410460,-122.059753,140.317841,126.538734,-19.530493,-15.120300,-40.747013,47.648533,4,-83,-99,-81,-81
37.410460,-122.059753,140.295059,126.515953,-19.911781,-14.770924,-40.471146,47.461277,4,-83,-99,-81,-81
37.410460,-122.059753,140.280258,126.501160,-19.480759,-14.804199,-40.665878,47.459224,4,-83,-99,-81,-81
