lat,lng,trueNorth,magNorth,magX,magY,magZ,magnitude,signal
37.410528,-122.059816,67.316498,53.530315,-15.236298,7.812073,-29.106670,33.769387,58
37.410528,-122.059816,67.839050,54.052864,-15.567810,7.679001,-28.588081,33.445510,58
37.410528,-122.059816,68.064140,54.277954,-15.799877,7.645721,-28.296375,33.298319,58
37.410528,-122.059816,69.066345,55.280159,-16.496063,7.479378,-28.134315,33.460438,58
37.410528,-122.059816,70.898643,57.112461,-16.976765,6.730824,-28.507050,33.855079,77
37.410528,-122.059816,72.592232,58.806049,-17.391171,5.583027,-28.296375,33.679487,77
37.410528,-122.059816,75.002213,61.216026,-17.739269,5.466579,-28.409821,33.936456,77
37.410528,-122.059816,75.307701,61.521515,-18.319431,5.749371,-28.069492,34.008135,77
37.410528,-122.059816,77.728165,63.941978,-18.601219,5.100628,-27.729168,33.777633,77
37.410528,-122.059816,79.763031,65.976845,-18.733829,4.468513,-27.761581,33.788007,77
37.410528,-122.059816,82.478645,68.692459,-18.949318,3.420532,-27.972260,33.959152,77
37.410528,-122.059816,84.584839,70.798653,-19.711811,2.921494,-27.388851,33.870928,77
37.410528,-122.059816,87.863358,74.077171,-20.474308,1.890148,-26.351677,33.424255,77
37.410528,-122.059816,89.505997,75.719810,-20.623493,0.808891,-26.303059,33.434020,77
37.410528,-122.059816,89.573769,75.787582,-20.673222,0.758987,-26.416504,33.552792,77
37.410528,-122.059816,89.531448,75.745262,-20.938442,0.592632,-26.384090,33.688126,77
37.410528,-122.059816,91.820290,78.034103,-20.822403,-0.056122,-26.335472,33.572797,77
37.410528,-122.059816,91.798157,78.011971,-20.673214,0.160137,-26.708206,33.774779,77
37.410528,-122.059816,91.398392,77.612206,-20.308544,0.393028,-27.032333,33.813289,77
37.410528,-122.059816,91.005043,77.218857,-20.308544,0.725719,-26.999912,33.792882,77
37.410528,-122.059816,89.998726,76.212540,-19.744957,0.925343,-26.935089,33.409858,77
37.410528,-122.059816,89.427032,75.640846,-20.076473,1.124954,-26.999908,33.664898,77
37.410528,-122.059816,89.942505,76.156319,-20.175934,1.158222,-26.935081,33.673556,77
37.410528,-122.059816,88.928886,75.142700,-20.026749,1.806976,-26.756824,33.470337,77
37.410528,-122.059816,88.607140,74.820953,-19.943878,1.657257,-27.648148,34.130995,77
37.410528,-122.059816,89.239220,75.453033,-19.943871,1.258034,-27.842617,34.271737,77
37.410528,-122.059816,89.045898,75.259712,-19.678650,1.224773,-27.648148,33.958348,77
37.410528,-122.059816,90.180550,76.394363,-19.827843,0.642559,-27.891232,34.226847,77
37.410528,-122.059816,90.254814,76.468628,-19.363712,0.675819,-27.502296,33.642033,77
37.410528,-122.059816,90.236053,76.449867,-19.264259,0.709087,-27.631939,33.691817,77
37.410528,-122.059816,90.216675,76.430489,-19.910717,0.858799,-27.453671,33.924596,77
37.410528,-122.059816,90.196686,76.410500,-20.010174,0.892075,-27.453667,33.983918,77
37.410528,-122.059816,90.247780,76.461594,-19.463169,0.642551,-27.210587,33.461080,77
37.410528,-122.059816,90.218140,76.431953,-20.076485,0.991879,-27.194386,33.816914,77
37.410528,-122.059816,90.231300,76.445114,-19.861000,1.075054,-27.340233,33.809812,77
37.410528,-122.059816,90.280846,76.494659,-20.325134,0.675819,-27.307827,34.048278,77
37.410528,-122.059816,90.372734,76.586548,-20.242252,0.625916,-27.324039,34.010935,77
37.410528,-122.059816,90.403580,76.617393,-19.711823,0.858799,-27.648155,33.966365,77
37.410528,-122.059816,90.474182,76.687996,-19.993614,0.642551,-27.016121,33.615893,77
37.410528,-122.059816,90.516312,76.730125,-19.744980,1.058418,-27.810211,34.123193,77
37.410528,-122.059816,90.534111,76.747925,-19.877590,1.058418,-27.615738,34.042148,77
37.410528,-122.059816,90.109077,76.322891,-19.297432,1.174847,-27.340244,33.485222,77
37.410528,-122.059816,90.467484,76.681297,-19.330585,0.975231,-27.534718,33.656846,77
37.410528,-122.059816,90.488434,76.702248,-19.628952,0.775620,-27.178185,33.534327,77
37.410528,-122.059816,90.548698,76.762512,-19.695255,0.276581,-27.631947,33.933819,77
37.410528,-122.059816,90.654106,76.867920,-19.943901,0.393028,-27.745388,34.171921,77
37.410528,-122.059816,91.572426,77.786240,-19.529495,0.576008,-27.664352,33.868117,77
37.410528,-122.059816,91.197701,77.411514,-19.496342,0.742352,-27.956055,34.091046,77
37.410528,-122.059816,91.133804,77.347618,-19.413467,0.359760,-27.745388,33.864712,77
37.410528,-122.059816,91.206322,77.420135,-19.678684,0.359749,-27.161972,33.543297,77
37.410528,-122.059816,91.265228,77.479042,-19.446621,0.692444,-26.675793,33.018911,77
37.410528,-122.059816,91.365135,77.578949,-20.010208,0.559364,-27.129562,33.715493,77
37.410528,-122.059816,91.421982,77.635796,-19.662109,1.141575,-27.113361,33.511731,77
37.410528,-122.059816,91.439789,77.653603,-19.695263,1.108299,-27.599537,33.924418,77
37.410528,-122.059816,91.490921,77.704735,-19.778145,0.659157,-27.259212,33.684925,77
37.410528,-122.059816,91.562195,77.776009,-20.209122,0.958580,-27.064743,33.790942,77
37.410528,-122.059816,91.548012,77.761826,-19.993633,1.274635,-27.469891,33.999485,77
37.410528,-122.059816,91.541504,77.755318,-19.695263,1.041748,-27.113358,33.527940,77
37.410528,-122.059816,91.544662,77.758476,-19.463196,1.008484,-27.243008,33.496485,77
37.410528,-122.059816,91.582283,77.796097,-19.943901,0.825500,-27.291618,33.812321,77
37.410528,-122.059816,91.595932,77.809746,-19.595802,1.607334,-27.372650,33.702240,77
37.410528,-122.059816,90.913834,77.127647,-19.728409,1.241371,-27.080940,33.528025,77
37.410528,-122.059816,91.982628,78.196442,-19.894165,0.808868,-27.178181,33.691031,77
37.410528,-122.059816,92.020973,78.234787,-20.109653,1.158199,-27.518501,34.102896,77
37.410528,-122.059816,91.990067,78.203880,-20.093079,1.307911,-27.275410,33.902661,77
37.410528,-122.059816,91.929375,78.143188,-19.761555,1.507534,-26.886471,33.401707,77
37.410528,-122.059816,91.875488,78.089302,-19.446613,1.357815,-27.032326,33.328082,77
37.410528,-122.059816,91.787735,78.001549,-19.645527,1.723774,-27.064743,33.487586,77
37.410528,-122.059816,91.764496,77.978310,-20.010197,0.958580,-26.805450,33.464295,77
37.410528,-122.059816,91.790657,78.004471,-19.811283,0.825500,-26.773033,33.316118,77
37.410528,-122.059816,91.824112,78.037926,-19.628948,0.609245,-26.918892,33.321067,77
37.410528,-122.059816,91.847504,78.061317,-19.877586,0.825500,-27.291622,33.773252,77
37.410528,-122.059816,91.866524,78.080338,-19.546066,0.625885,-27.453682,33.706751,77
37.410528,-122.059816,91.865921,78.079735,-19.396885,0.875401,-27.210602,33.427867,77
37.410528,-122.059816,91.905785,78.119598,-19.977051,0.892036,-26.675808,33.338821,77
37.410528,-122.059816,91.919403,78.133217,-20.093086,0.875393,-27.080956,33.732426,77
37.410528,-122.059816,92.005997,78.219810,-20.308575,0.359722,-26.773045,33.606004,77
37.410528,-122.059816,92.010612,78.224426,-20.126236,1.274620,-27.113373,33.790901,77
37.410528,-122.059816,92.008438,78.222252,-19.877594,1.191448,-26.999928,33.548985,77
37.410528,-122.059816,92.004219,78.218033,-19.728409,1.274620,-26.886482,33.372409,77
37.410528,-122.059816,92.006714,78.220528,-19.927319,1.108276,-26.918900,33.510498,77
37.410528,-122.059816,92.000931,78.214745,-20.258842,1.474232,-27.113369,33.878147,77
37.410528,-122.059816,91.936203,78.150017,-20.026772,1.707119,-26.983727,33.646803,77
37.410528,-122.059816,91.899071,78.112885,-20.341717,1.224716,-26.902691,33.749669,77
37.410528,-122.059816,91.910645,78.124458,-19.628952,0.908653,-27.048550,33.432700,77
37.410528,-122.059816,91.926430,78.140244,-19.910748,1.091629,-27.097168,33.643514,77
37.410528,-122.059816,91.935318,78.149132,-20.159386,1.640583,-26.983727,33.722601,77
37.410528,-122.059816,91.907433,78.121246,-19.479763,1.257984,-26.935108,33.264752,77
37.410528,-122.059816,91.942490,78.156303,-19.579220,0.892025,-27.064758,33.416204,77
37.410528,-122.059816,91.946289,78.160103,-19.695248,1.341152,-27.437492,33.801146,77
37.410528,-122.059816,91.953194,78.167007,-20.242264,1.025093,-26.675812,33.502224,77
37.410528,-122.059816,92.010796,78.224609,-19.827862,0.875374,-26.692013,33.262200,77
37.410528,-122.059816,92.044495,78.258308,-20.093079,1.074993,-26.983723,33.660195,77
37.410528,-122.059816,92.087723,78.301537,-20.291996,1.108257,-26.951305,33.754499,77
37.410528,-122.059816,92.115158,78.328972,-19.662106,1.307873,-27.016125,33.439197,77
37.410528,-122.059816,92.113403,78.327217,-19.512920,1.557388,-26.610977,33.035188,77
37.410528,-122.059816,92.084671,78.298485,-19.197979,1.507484,-27.437477,33.520890,77
37.410528,-122.059816,92.084839,78.298653,-19.711834,1.490856,-27.129559,33.567723,77
37.410528,-122.059816,92.058617,78.272430,-19.861019,1.740368,-27.405064,33.889917,77
37.410528,-122.059816,92.034431,78.248245,-19.827869,1.740368,-27.243008,33.739513,77
37.410528,-122.059816,92.004158,78.217972,-19.612377,1.757008,-27.356453,33.706200,77
37.410528,-122.059816,91.982628,78.196442,-19.546070,1.723740,-27.097164,33.455589,77
37.410528,-122.059816,91.912056,78.125870,-19.662109,2.372498,-27.243008,33.680985,77
37.410528,-122.059816,91.841888,78.055702,-19.280861,1.989895,-27.291618,33.474523,77
37.410528,-122.059816,91.813148,78.026962,-19.297440,1.740364,-27.243004,33.430544,77
37.410528,-122.059816,91.780807,77.994621,-19.894169,1.806900,-27.210587,33.755872,77
37.410528,-122.059816,91.738678,77.952492,-19.861019,1.906708,-27.243004,33.767986,77
37.410528,-122.059816,91.666412,77.880226,-19.314018,2.322578,-26.999908,33.277932,77
37.410528,-122.059816,91.592583,77.806396,-19.247711,2.522194,-27.161964,33.385748,77
37.410528,-122.059816,91.497467,77.711281,-19.280861,2.389122,-27.259201,33.474222,77
37.410528,-122.059816,91.466751,77.680565,-19.778145,1.823544,-26.870258,33.414235,77
37.410528,-122.059816,91.471848,77.685661,-19.877602,1.956615,-26.740612,33.376754,77
37.410528,-122.059816,91.422050,77.635864,-19.562653,2.372478,-27.210583,33.596753,77
37.410528,-122.059816,91.369629,77.583443,-19.496346,2.206131,-27.113342,33.468012,77
37.410528,-122.059816,91.339569,77.553383,-19.794720,2.305943,-27.080929,33.623281,77
37.410528,-122.059816,91.309036,77.522850,-19.214565,2.189499,-26.773018,33.027078,77
37.410528,-122.059816,91.286156,77.499969,-19.214565,2.156227,-26.870251,33.103764,77
37.410528,-122.059816,91.212639,77.426453,-19.579235,2.588726,-27.032310,33.478258,77
37.410528,-122.059816,91.185448,77.399261,-19.728424,2.139591,-27.340221,33.782781,77
37.410528,-122.059816,91.178993,77.392807,-19.430050,1.973244,-26.983696,33.309764,77
37.410528,-122.059816,91.167503,77.381317,-19.463200,2.106331,-26.918873,33.284809,77
