lat,lng,trueNorth,magNorth,magX,magY,magZ,magnitude,signal
37.410505,-122.059865,87.402962,73.616776,-12.903347,0.191990,-19.731838,23.577079,35
37.410505,-122.059865,85.791367,72.005180,-12.886780,0.940689,-19.748051,23.599566,35
37.410505,-122.059865,84.629883,70.843697,-12.953079,1.672764,-19.456272,23.433457,35
37.410505,-122.059865,84.579605,70.793419,-13.168560,1.922337,-19.407642,23.532168,35
37.410505,-122.059865,83.406525,69.620338,-13.848175,2.504665,-19.877731,24.355071,35
37.410505,-122.059865,81.225327,67.439140,-13.151985,3.303299,-20.364025,24.465895,35
37.410505,-122.059865,80.085716,66.299530,-13.649261,4.002094,-19.715633,24.311012,35
37.410505,-122.059865,78.748253,64.962067,-13.881317,4.634338,-20.104671,24.866963,35
37.410505,-122.059865,77.664795,63.878609,-12.969654,5.150127,-20.056042,24.433185,35
37.410505,-122.059865,73.567833,59.781651,-12.041405,6.514439,-20.347820,24.524827,35
37.410505,-122.059865,69.496025,55.709839,-11.593857,7.629185,-20.039837,24.376567,35
37.410505,-122.059865,67.503761,53.717575,-11.544128,8.411171,-19.893944,24.490482,35
37.410505,-122.059865,61.936302,48.150116,-10.731911,9.625751,-19.748051,24.450246,35
37.410505,-122.059865,58.789909,45.003723,-9.621319,9.842045,-19.926369,24.217675,35
37.410505,-122.059865,56.192207,42.406021,-8.312584,9.737743,-20.976654,24.575246,35
37.410505,-122.059865,52.270195,38.484009,-7.831875,10.686069,-20.863182,24.714423,35
37.410505,-122.059865,49.905235,36.119053,-6.555519,10.403233,-20.587616,23.980242,35
37.410505,-122.059865,50.185219,36.399036,-6.721279,10.469791,-20.684875,24.138273,35
37.410505,-122.059865,49.702049,35.915863,-6.257160,10.070484,-20.846973,23.982556,35
37.410505,-122.059865,48.820068,35.033882,-6.555531,10.869083,-20.879395,24.434833,35
37.410505,-122.059865,48.193810,34.407627,-6.389767,10.968899,-20.684883,24.269533,35
37.410505,-122.059865,49.233719,35.447533,-6.406349,10.419857,-21.154961,24.436593,35
37.410505,-122.059865,48.241882,34.455700,-6.406342,10.918980,-20.960445,24.486845,35
37.410505,-122.059865,48.425140,34.638954,-6.340034,10.619503,-21.219803,24.561146,35
37.410505,-122.059865,48.713181,34.926998,-6.538952,9.854183,-21.252216,24.321174,35
37.410505,-122.059865,49.081726,35.295540,-6.671558,9.887455,-21.057697,24.201200,35
37.410505,-122.059865,49.415291,35.629108,-6.671558,10.353291,-20.960445,24.311326,35
37.410505,-122.059865,51.167549,37.381363,-6.389767,10.203556,-21.106331,24.298537,35
37.410505,-122.059865,50.683624,36.897438,-6.456074,10.469753,-21.268429,24.569141,35
37.410505,-122.059865,52.240578,38.454395,-6.754448,10.303387,-21.430527,24.719422,35
37.410505,-122.059865,49.859238,36.073055,-6.141132,10.719311,-21.317059,24.638062,35
37.410505,-122.059865,49.459358,35.673172,-6.025105,10.669407,-21.203594,24.489396,35
37.410505,-122.059865,49.459885,35.673702,-6.207439,10.752590,-21.025288,24.417478,35
37.410505,-122.059865,49.561157,35.774971,-6.340034,10.619488,-21.317059,24.645213,35
37.410505,-122.059865,49.630753,35.844570,-5.892490,10.469769,-21.787140,24.880051,35
37.410505,-122.059865,49.692459,35.906277,-5.826183,10.137020,-21.203590,24.213547,45
37.410505,-122.059865,50.698608,36.912422,-6.273727,10.419857,-20.928020,24.205684,45
37.410505,-122.059865,51.690384,37.904198,-6.273727,10.153645,-21.154953,24.289672,45
37.410505,-122.059865,51.696045,37.909863,-6.091393,9.837528,-21.851967,24.726311,45
37.410505,-122.059865,51.703514,37.917332,-6.124538,9.870800,-21.560200,24.490506,45
37.410505,-122.059865,51.676636,37.890453,-5.958775,10.003902,-21.300842,24.275727,45
37.410505,-122.059865,51.636406,37.850224,-6.091389,10.203548,-21.333260,24.419774,45
37.410505,-122.059865,51.643356,37.857174,-5.991924,9.904087,-21.333267,24.271432,45
37.410505,-122.059865,50.064621,36.278435,-5.826160,10.270107,-21.398106,24.439684,45
37.410505,-122.059865,50.145172,36.358986,-6.157677,9.837521,-21.625038,24.542536,45
37.410505,-122.059865,51.487129,37.700943,-6.522343,10.303371,-21.462948,24.685189,45
37.410505,-122.059865,51.946548,38.160362,-6.439468,9.953999,-20.992859,24.109105,45
37.410505,-122.059865,52.030060,38.243874,-6.124527,9.571323,-21.462948,24.285349,45
37.410505,-122.059865,51.627571,37.841385,-6.124519,9.671146,-21.041496,23.953818,45
37.410505,-122.059865,51.639488,37.853302,-5.975334,9.754353,-20.863190,23.793375,45
37.410505,-122.059865,51.663300,37.877113,-5.776428,9.355053,-21.057713,23.755239,45
37.410505,-122.059865,51.633369,37.847183,-6.157677,9.737713,-21.495369,24.388336,45
37.410505,-122.059865,51.589424,37.803242,-6.240555,10.053829,-21.187386,24.267866,45
37.410505,-122.059865,51.569183,37.783001,-6.207401,9.820896,-21.284645,24.249081,45
37.410505,-122.059865,51.556847,37.770664,-6.373161,9.820889,-21.349483,24.348870,45
37.410505,-122.059865,51.551094,37.764912,-6.273712,9.787617,-21.576420,24.509157,45
37.410505,-122.059865,50.940315,37.154129,-5.676983,9.621243,-21.414330,24.153053,45
37.410505,-122.059865,51.003403,37.217216,-5.610676,9.521412,-21.154976,23.867760,45
37.410505,-122.059865,50.958664,37.172478,-6.041649,9.820881,-20.928036,23.894223,45
37.410505,-122.059865,51.513680,37.727497,-6.373169,9.953999,-21.284653,24.346166,45
37.410505,-122.059865,52.970581,39.184395,-6.472618,9.321774,-20.992874,23.864011,45
37.410505,-122.059865,52.918495,39.132309,-6.157677,9.604610,-20.782146,23.707871,45
37.410505,-122.059865,52.792572,39.006386,-6.041634,9.687801,-21.252232,24.124929,45
37.410505,-122.059865,52.705925,38.919739,-6.190815,9.937366,-21.106346,24.136182,45
37.410505,-122.059865,52.601555,38.815369,-6.273693,9.687801,-20.928040,23.899698,45
37.410505,-122.059865,52.522881,38.736698,-5.925606,9.737698,-21.171185,24.044846,45
37.410505,-122.059865,52.424507,38.638321,-5.842728,9.454861,-21.608849,24.299675,45
37.410505,-122.059865,51.121094,37.334908,-5.925606,9.538059,-21.884415,24.597052,45
37.410505,-122.059865,51.418320,37.632137,-6.323429,9.837521,-21.138767,24.158022,45
37.410505,-122.059865,51.439240,37.653053,-6.456032,9.637875,-21.268448,24.226346,45
37.410505,-122.059865,52.312454,38.526272,-6.422882,9.637875,-21.365711,24.302997,45
37.410505,-122.059865,52.345909,38.559723,-6.654945,9.704426,-21.462975,24.476998,45
37.410505,-122.059865,53.814735,40.028553,-6.870438,9.654514,-21.154984,24.247595,45
37.410505,-122.059865,53.837837,40.051655,-6.820702,9.172031,-21.560230,24.402698,45
37.410505,-122.059865,53.891556,40.105373,-6.671524,8.955746,-21.317085,24.065177,45
37.410505,-122.059865,53.949745,40.163563,-6.920158,9.271854,-21.106361,24.069366,45
37.410505,-122.059865,53.935410,40.149223,-6.489178,9.371685,-21.268459,24.130588,45
37.410505,-122.059865,53.998634,40.212452,-6.588642,9.072208,-21.365726,24.129017,45
37.410505,-122.059865,54.023529,40.237347,-6.837280,9.355053,-21.317089,24.262805,45
37.410505,-122.059865,54.063423,40.277237,-6.555489,9.238594,-21.981693,24.728948,45
37.410505,-122.059865,54.036942,40.250755,-6.141090,9.221958,-21.706120,24.370333,45
37.410505,-122.059865,54.000351,40.214169,-6.141083,9.587986,-21.868229,24.654854,45
37.410505,-122.059865,53.896202,40.110016,-6.107933,9.854183,-21.803383,24.694114,45
37.410505,-122.059865,53.812172,40.025990,-6.207390,9.887463,-21.544025,24.503849,45
37.410505,-122.059865,53.748283,39.962101,-6.323429,9.538082,-21.787182,24.609796,45
37.410505,-122.059865,53.651985,39.865799,-6.522339,9.471531,-21.203632,24.121460,45
37.410505,-122.059865,54.212402,40.426216,-6.489182,9.138775,-21.203632,23.983759,45
37.410505,-122.059865,53.684166,39.897980,-6.306854,9.221966,-21.090160,23.866628,45
37.410505,-122.059865,53.690002,39.903820,-6.522339,9.404972,-20.911854,23.839044,45
37.410505,-122.059865,53.658234,39.872047,-6.290276,9.538074,-21.365726,24.228840,45
37.410505,-122.059865,53.703514,39.917332,-6.688091,9.271877,-21.268467,24.146345,45
37.410505,-122.059865,53.756393,39.970207,-6.737823,9.355061,-21.284683,24.206469,45
37.410505,-122.059865,53.589760,39.803574,-6.704674,9.787624,-21.057743,24.169791,45
37.410505,-122.059865,52.382828,38.596642,-6.422886,9.837543,-21.203629,24.240969,45
37.410505,-122.059865,52.797882,39.011696,-6.522343,9.770985,-21.236050,24.268970,45
37.410505,-122.059865,52.824188,39.038002,-6.654945,9.238586,-21.203632,24.067277,45
37.410505,-122.059865,52.864594,39.078411,-6.638378,9.654522,-21.349518,24.353229,45
37.410505,-122.059865,52.856461,39.070278,-6.522358,9.770969,-21.300888,24.325724,45
37.410505,-122.059865,52.865181,39.078995,-6.555508,9.637875,-21.268467,24.253062,45
37.410505,-122.059865,52.858902,39.072716,-6.389744,9.970615,-21.203632,24.286540,45
37.410505,-122.059865,52.848602,39.062416,-6.555508,9.471485,-21.106373,24.045014,45
37.410505,-122.059865,52.860176,39.073994,-6.654964,9.737682,-20.814602,23.924019,45
37.410505,-122.059865,52.817368,39.031185,-6.356598,9.737690,-21.430569,24.382334,45
37.410505,-122.059865,52.760040,38.973858,-6.505775,9.721058,-21.252262,24.258663,45
37.410505,-122.059865,52.721657,38.935471,-6.472618,9.554684,-21.187424,24.126618,45
37.410505,-122.059865,52.632195,38.846008,-5.942188,9.854168,-21.414352,24.310259,45
37.410505,-122.059865,52.507942,38.721756,-5.875885,10.020542,-21.349518,24.305127,45
37.410505,-122.059865,52.382805,38.596622,-5.925610,9.837528,-21.236053,24.142489,45
37.410505,-122.059865,52.326500,38.540314,-5.909031,9.388317,-21.187424,23.915770,45
37.410505,-122.059865,52.258499,38.472313,-6.273693,9.654522,-21.025330,23.971514,45
37.410505,-122.059865,52.229111,38.442924,-6.306847,9.687801,-21.349525,24.278222,45
37.410505,-122.059865,52.172852,38.386669,-6.041626,9.687801,-21.479206,24.325111,45
37.410505,-122.059865,52.108429,38.322243,-6.008469,9.654522,-21.479206,24.303658,45
37.410505,-122.059865,52.078003,38.291817,-5.942162,9.355061,-21.706142,24.371768,45
37.410505,-122.059865,52.047768,38.261585,-5.975311,9.488140,-21.770981,24.488870,45
37.410505,-122.059865,52.033501,38.247314,-6.190804,9.271854,-20.684921,23.498070,45
37.410505,-122.059865,52.024429,38.238243,-5.975323,9.721088,-21.479202,24.322010,45
37.410505,-122.059865,52.006660,38.220474,-6.058197,9.404964,-21.592670,24.318687,45
37.410505,-122.059865,52.052483,38.266296,-6.273682,9.122120,-21.187439,23.905642,45
37.410505,-122.059865,52.140457,38.354271,-6.671505,9.088852,-21.381947,24.172378,45
37.410505,-122.059865,52.220467,38.434280,-6.406292,9.454876,-21.900654,24.699674,45
37.410505,-122.059865,52.257706,38.471523,-6.356556,9.371693,-21.560253,24.353212,45
37.410505,-122.059865,52.346230,38.560043,-6.704651,9.122120,-21.090172,23.936599,45
37.410505,-122.059865,52.389862,38.603680,-6.157642,9.238586,-21.689926,24.366389,45
37.410505,-122.059865,52.398415,38.612232,-6.157635,9.371685,-21.754772,24.474784,45
37.410505,-122.059865,52.423706,38.637520,-6.306824,9.255222,-21.933079,24.627121,45
37.410505,-122.059865,52.449203,38.663017,-6.422863,9.637882,-20.911861,23.904976,45
37.410505,-122.059865,52.540550,38.754364,-7.019592,9.471516,-21.462990,24.487634,45
37.410505,-122.059865,52.635254,38.849068,-6.688072,9.205318,-21.625084,24.435885,45
37.410505,-122.059865,52.747231,38.961044,-6.704651,9.122128,-21.868237,24.624892,45
37.410505,-122.059865,52.781090,38.994907,-6.223946,9.371685,-21.787186,24.520347,45
37.410505,-122.059865,52.808449,39.022266,-6.240517,8.989025,-21.900654,24.482346,45
37.410505,-122.059865,52.779594,38.993412,-5.743237,9.554691,-21.479206,24.199859,45
37.410505,-122.059865,52.764198,38.978012,-6.389694,9.571346,-21.009125,23.954586,45
37.410505,-122.059865,52.756500,38.970318,-6.058178,9.704433,-20.717358,23.666146,45
37.410505,-122.059865,52.712959,38.926777,-6.107903,9.920727,-20.765984,23.810783,45
37.410505,-122.059865,52.701508,38.915325,-5.892410,9.438244,-21.787205,24.463917,45
37.410505,-122.059865,52.718666,38.932484,-6.141052,9.621243,-21.025349,23.923756,45
37.410505,-122.059865,52.703354,38.917168,-6.273663,10.020542,-20.798412,23.923713,45
37.410505,-122.059865,52.662529,38.876347,-5.776382,9.721081,-21.284706,24.101965,45
37.410505,-122.059865,52.634979,38.848797,-5.942131,9.321774,-21.738579,24.387911,45
37.410505,-122.059865,52.626801,38.840618,-6.091328,9.704449,-21.300911,24.186968,45
37.410505,-122.059865,52.639908,38.853722,-6.422844,9.538082,-21.689945,24.549576,45
37.410505,-122.059865,52.633987,38.847805,-5.975292,9.721088,-21.608902,24.436618,45
37.410505,-122.059865,52.626915,38.840733,-6.058170,9.504803,-21.300919,24.099208,45
37.410505,-122.059865,52.673561,38.887375,-5.842686,9.088863,-21.544067,24.101686,45
37.410505,-122.059865,52.682732,38.896545,-6.025021,9.671177,-21.300922,24.157024,45
37.410505,-122.059865,52.707184,38.920998,-6.074741,9.155415,-21.835842,24.444388,45
37.410505,-122.059865,52.741562,38.955379,-6.025009,9.504803,-21.754791,24.493121,45
37.410505,-122.059865,52.751106,38.964924,-5.975273,9.521442,-21.511650,24.271647,45
37.410505,-122.059865,52.711632,38.925446,-5.726635,10.170307,-21.268501,24.260640,45
37.410505,-122.059865,52.649239,38.863052,-5.958702,10.070477,-21.268497,24.274876,45
37.410505,-122.059865,52.665726,38.879543,-6.091312,9.637905,-21.689953,24.504027,45
37.410505,-122.059865,52.684967,38.898781,-5.710052,9.754368,-21.673740,24.443883,45
37.410505,-122.059865,52.667831,38.881645,-5.743210,9.787632,-21.544056,24.350124,45
37.410505,-122.059865,52.683304,38.897118,-6.157616,10.003933,-21.625103,24.609754,45
37.410505,-122.059865,52.684258,38.898075,-5.975288,9.887463,-21.090183,24.047075,45
37.410505,-122.059865,52.668640,38.882458,-5.991863,10.137028,-21.430584,24.452642,45
37.410505,-122.059865,52.589577,38.803394,-5.411705,9.920742,-21.479206,24.270640,45
37.410505,-122.059865,52.580482,38.794300,-5.676926,9.188694,-21.414368,23.984051,45
37.410505,-122.059865,52.571289,38.785107,-5.859257,10.037197,-21.300903,24.265298,45
37.410505,-122.059865,52.487556,38.701374,-5.527737,9.970654,-21.333313,24.188428,45
37.410505,-122.059865,52.433395,38.647209,-5.511162,9.987286,-20.668716,23.607512,45
37.410505,-122.059865,52.330925,38.544739,-5.146492,9.754375,-21.187428,23.886006,45
37.410505,-122.059865,52.271797,38.485615,-5.643772,9.721096,-20.992908,23.812897,45
37.410505,-122.059865,52.267479,38.481293,-6.008450,9.587994,-21.155010,23.990947,45
37.410505,-122.059865,52.284256,38.498074,-5.726665,9.837551,-20.976704,23.866173,45
37.410505,-122.059865,52.229630,38.443443,-5.710091,10.087109,-20.798393,23.810251,45
37.410505,-122.059865,52.184830,38.398643,-5.759815,10.236843,-21.041534,24.098021,45
37.410505,-122.059865,52.091316,38.305130,-5.312260,10.120388,-20.992908,23.902815,45
37.410505,-122.059865,52.031303,38.245117,-5.594055,9.970646,-21.106373,24.003879,45
37.410505,-122.059865,52.006569,38.220383,-5.842693,9.621258,-21.155003,23.963301,45
37.410505,-122.059865,52.028519,38.242336,-6.008457,9.787632,-20.765972,23.730253,45
37.410505,-122.059865,51.971519,38.185333,-5.809547,9.987286,-20.765968,23.763883,45
37.410505,-122.059865,51.973473,38.187286,-6.190788,9.737720,-21.171207,24.111596,45
37.410505,-122.059865,51.954376,38.168194,-6.240517,10.220203,-20.928066,24.111834,33
37.410505,-122.059865,52.272186,38.486000,-6.091339,9.737720,-21.138790,24.057765,33
37.410505,-122.059865,52.307205,38.521023,-6.472584,9.554714,-20.733547,23.729030,33
37.410505,-122.059865,52.354370,38.568188,-6.605198,9.654537,-20.765968,23.834097,33
37.410505,-122.059865,52.446251,38.660065,-6.770969,9.355068,-21.187424,24.130277,33
37.410505,-122.059865,52.593445,38.807259,-7.135643,9.122139,-20.960487,23.947293,33
37.410505,-122.059865,52.708168,38.921982,-7.284832,9.305149,-20.393147,23.569790,33
37.410505,-122.059865,52.829430,39.043247,-7.251675,9.771008,-20.879440,24.166307,33
37.410505,-122.059865,54.705177,40.918991,-7.699238,9.721088,-20.765968,24.186841,33
37.410505,-122.059865,55.140411,41.354229,-7.550049,9.604626,-20.911854,24.218953,33
37.410505,-122.059865,55.449417,41.663231,-7.997604,9.521435,-21.090160,24.482938,33
37.410505,-122.059865,56.691658,42.905472,-8.627491,9.454884,-20.992905,24.587201,33
37.410505,-122.059865,57.300537,43.514351,-9.207649,9.138779,-20.976692,24.664138,33
37.410505,-122.059865,57.419518,43.633331,-9.870689,9.072235,-20.749756,24.704014,33
37.410505,-122.059865,61.313644,47.527458,-11.345955,8.489922,-20.603870,25.006578,33
37.410505,-122.059865,63.158638,49.372456,-12.207905,8.456646,-20.603867,25.398172,33
37.410505,-122.059865,64.342567,50.556385,-12.887524,8.340187,-20.068947,25.266769,33
37.410505,-122.059865,64.351418,50.565235,-12.522846,8.306915,-20.231049,25.201624,33
37.410505,-122.059865,63.056458,49.270275,-12.357098,8.672939,-20.587666,25.529781,33
37.410505,-122.059865,65.645157,51.858971,-13.003551,7.824417,-20.636288,25.615820,33
37.410505,-122.059865,67.466949,53.680763,-13.567127,7.325298,-20.733547,25.838090,33
37.410505,-122.059865,69.391014,55.604832,-14.230175,7.059097,-20.312096,25.785848,33
37.410505,-122.059865,69.482132,55.695950,-14.080986,6.676441,-20.393147,25.665725,33
37.410505,-122.059865,69.606430,55.820248,-13.998123,6.693085,-20.376930,25.611797,33
37.410505,-122.059865,70.015640,56.229458,-14.528553,6.060856,-20.539028,25.877877,33
37.410505,-122.059865,70.571129,56.784943,-14.942955,6.144039,-20.133797,25.814935,33
37.410505,-122.059865,74.595337,60.809151,-15.241322,5.877838,-19.906853,25.751304,33
37.410505,-122.059865,75.941269,62.155083,-15.672291,5.611641,-19.939274,25.974716,33
37.410505,-122.059865,77.773193,63.987011,-16.484512,5.395348,-19.760967,26.293435,33
37.410505,-122.059865,78.650307,64.864120,-16.766300,5.312172,-19.615082,26.345387,33
37.410505,-122.059865,78.326714,64.540527,-16.567390,5.844574,-19.128784,25.972059,33
37.410505,-122.059865,78.111435,64.325249,-16.501091,6.110771,-18.545242,25.564693,33
37.410505,-122.059865,78.035843,64.249657,-17.081249,6.293774,-18.561451,25.998233,33
37.410505,-122.059865,77.968903,64.182716,-17.346470,6.327042,-18.885639,26.412096,33
37.410505,-122.059865,77.214874,63.428692,-17.064674,6.410229,-18.739746,26.143302,33
37.410505,-122.059865,77.283394,63.497211,-16.981792,5.894459,-18.885635,26.072843,33
37.410505,-122.059865,77.393456,63.607273,-17.097824,6.277126,-18.739750,26.132664,33
37.410505,-122.059865,77.465111,63.678928,-16.965218,5.977657,-18.804588,26.022366,33
37.410505,-122.059865,77.538467,63.752285,-16.849182,6.027565,-18.464180,25.712884,33
37.410505,-122.059865,78.761818,64.975632,-17.379623,6.094112,-18.691120,26.240188,33
37.410505,-122.059865,78.388741,64.602554,-17.313316,6.293770,-18.334503,25.990700,43
37.410505,-122.059865,78.430855,64.644669,-17.992939,6.676418,-17.832008,26.197346,43
37.410505,-122.059865,78.414772,64.628586,-18.473637,6.659782,-17.815796,26.514723,43
37.410505,-122.059865,77.556686,63.770500,-19.617386,6.609871,-16.924252,26.738783,43
37.410505,-122.059865,78.186562,64.400375,-19.551079,6.010925,-16.859417,26.506902,43
37.410505,-122.059865,76.655304,62.869118,-19.584229,7.109001,-17.475388,27.193181,43
37.410505,-122.059865,78.775078,64.988892,-20.446186,6.576603,-17.118774,27.465445,43
37.410505,-122.059865,81.184700,67.398514,-21.092648,5.927734,-16.292076,27.303288,43
37.410505,-122.059865,82.649223,68.863037,-21.059498,5.794632,-16.000298,27.075630,43
37.410505,-122.059865,83.470482,69.684296,-21.523628,5.894459,-15.578838,27.216014,43
37.410505,-122.059865,85.123238,71.337051,-22.136944,5.944374,-14.622475,27.188171,37
37.410505,-122.059865,85.893623,72.107437,-22.485039,6.193943,-14.411743,27.416058,37
37.410505,-122.059865,86.187904,72.401718,-22.120365,6.127392,-14.249638,27.016803,37
37.410505,-122.059865,85.725822,71.939636,-22.302704,6.443497,-14.330692,27.281825,37
37.410505,-122.059865,86.465126,72.678940,-22.551338,6.360313,-13.925449,27.256826,37
37.410505,-122.059865,85.798134,72.011948,-22.468464,6.942627,-14.071331,27.405005,37
37.410505,-122.059865,85.769005,71.982819,-22.054062,6.626511,-13.828190,26.860959,37
37.410505,-122.059865,85.564857,71.778671,-22.451885,6.693058,-14.541424,27.574212,37
37.410505,-122.059865,85.316711,71.530525,-22.352432,6.659782,-14.346905,27.382798,37
37.410505,-122.059865,85.815430,72.029243,-21.904873,6.310402,-14.168591,26.840149,37
37.410505,-122.059865,85.481720,71.695534,-22.219822,6.693066,-14.411743,27.316954,37
37.410505,-122.059865,85.647095,71.860909,-22.054062,6.526684,-14.217224,27.039022,37
37.410505,-122.059865,85.829224,72.043037,-22.054062,6.493408,-13.860607,26.845156,37
37.410505,-122.059865,86.326424,72.540237,-22.252975,6.293755,-13.828190,26.944853,37
37.410505,-122.059865,85.984238,72.198051,-22.799984,6.410229,-14.298267,27.665335,37
37.410505,-122.059865,86.734367,72.948181,-22.567924,6.177307,-14.460365,27.505863,37
37.410505,-122.059865,86.141418,72.355232,-22.103786,6.243847,-14.525204,27.176176,37
37.410505,-122.059865,86.064049,72.277863,-22.501614,6.510048,-14.233429,27.409740,37
37.410505,-122.059865,86.087204,72.301018,-22.468460,6.277122,-14.233425,27.328087,37
37.410505,-122.059865,86.290619,72.504433,-22.468464,6.343678,-14.103756,27.276181,37
37.410505,-122.059865,86.538551,72.752365,-22.766834,6.343678,-14.492798,27.723856,37
37.410505,-122.059865,86.430664,72.644478,-22.485046,6.327042,-14.249653,27.361677,37
37.410505,-122.059865,86.497658,72.711472,-22.766830,6.010937,-13.876823,27.331779,37
37.410505,-122.059865,86.467323,72.681137,-22.733681,6.776260,-14.201023,27.647911,37
37.410505,-122.059865,86.396584,72.610397,-22.485043,6.693069,-14.476593,27.567119,37
37.410505,-122.059865,86.346825,72.560638,-22.551334,6.626514,-13.957874,27.336708,37
37.410505,-122.059865,85.176689,71.390503,-22.501610,6.676430,-14.590046,27.636328,37
37.410505,-122.059865,85.578003,71.791817,-22.335846,6.243855,-14.654888,27.434312,37
37.410505,-122.059865,84.997116,71.210930,-21.705959,6.044201,-15.497795,27.347078,37
37.410505,-122.059865,85.651985,71.865799,-21.838570,5.678181,-16.146183,27.746425,37
37.410505,-122.059865,84.879662,71.093475,-21.192104,5.994289,-17.005299,27.824755,37
37.410505,-122.059865,83.677376,69.891190,-20.230701,6.393593,-17.394325,27.435777,37
37.410505,-122.059865,82.157875,68.371689,-19.617386,6.909355,-18.156185,27.608478,37
37.410505,-122.059865,80.664513,66.878326,-19.302437,6.959267,-18.788372,27.821186,37
37.410505,-122.059865,81.132553,67.346367,-18.888039,6.277126,-19.841995,28.104539,37
37.410505,-122.059865,81.269394,67.483208,-17.943211,5.228966,-19.890621,27.293547,37
37.410505,-122.059865,81.346329,67.560143,-17.694572,5.079224,-19.939255,27.137986,37
37.410505,-122.059865,81.389305,67.603119,-16.865772,4.380444,-20.295872,26.750046,37
37.410505,-122.059865,81.416718,67.630531,-16.036980,4.380451,-20.749744,26.588061,37
37.410505,-122.059865,79.676369,65.890182,-15.473400,5.012672,-20.425552,26.110461,37
37.410505,-122.059865,80.704857,66.918671,-16.335350,4.946125,-20.295872,26.518488,37
37.410505,-122.059865,80.389481,66.603294,-16.003826,4.779755,-20.295872,26.284804,37
37.410505,-122.059865,80.138695,66.352509,-15.722034,4.496929,-20.668701,26.355264,37
37.410505,-122.059865,82.787888,69.001701,-15.904369,3.714962,-20.393131,26.127183,37
37.410505,-122.059865,81.763847,67.977661,-16.418213,4.397099,-20.279663,26.460479,37
37.410505,-122.059865,81.457336,67.671150,-16.484528,4.530193,-19.728531,26.105119,37
37.410505,-122.059865,82.032295,68.246109,-16.368492,4.280643,-19.712318,25.977431,37
37.410505,-122.059865,82.080231,68.294044,-16.865772,4.679939,-19.906841,26.507328,37
37.410505,-122.059865,82.075249,68.289062,-16.550827,4.297276,-19.631275,26.034274,37
37.410505,-122.059865,80.323540,66.537354,-15.904369,4.580116,-19.809589,25.813684,37
37.410505,-122.059865,79.929886,66.143700,-15.871216,4.580116,-20.490391,26.319747,40
37.410505,-122.059865,80.767288,66.981102,-16.302193,4.513557,-19.842003,26.073718,40
37.410505,-122.059865,81.677986,67.891800,-16.451378,4.264008,-19.534023,25.892232,40
37.410505,-122.059865,81.270088,67.483902,-16.849205,4.097633,-20.020313,26.485831,40
37.410505,-122.059865,81.456711,67.670525,-17.329910,4.080997,-19.906841,26.706978,40
37.410505,-122.059865,83.040215,69.254028,-17.296757,3.848072,-19.971676,26.699313,40
37.410505,-122.059865,83.069717,69.283531,-16.882351,3.698330,-20.312077,26.669681,40
37.410505,-122.059865,84.476463,70.690277,-16.865776,3.249119,-19.874413,26.267917,40
37.410505,-122.059865,84.961998,71.175812,-16.948658,3.265759,-19.696110,26.188908,40
37.410505,-122.059865,84.551460,70.765274,-16.832630,3.348949,-19.712318,26.136725,40
37.410505,-122.059865,84.451096,70.664909,-16.898933,3.814789,-19.452972,26.048891,40
37.410505,-122.059865,84.399178,70.612991,-17.247032,3.698334,-19.501598,26.295439,40
37.410505,-122.059865,84.350853,70.564667,-17.064693,3.615147,-19.582638,26.225041,40
37.410505,-122.059865,84.323898,70.537712,-17.412788,3.698334,-19.825787,26.644787,40
37.410505,-122.059865,84.302696,70.516510,-17.462521,3.748241,-19.712322,26.600086,40
37.410505,-122.059865,84.243484,70.457298,-17.280178,3.864693,-20.020309,26.727387,40
37.410505,-122.059865,84.285042,70.498856,-17.363060,3.182556,-19.874416,26.581891,40
37.410505,-122.059865,84.343216,70.557030,-17.064693,3.382202,-19.939259,26.461615,40
37.410505,-122.059865,82.708076,68.921890,-16.981812,3.864693,-19.825790,26.389008,40
37.410505,-122.059865,86.055824,72.269638,-16.832626,2.550331,-19.939255,26.218607,40
