lat,lng,trueNorth,magNorth,magX,magY,magZ,magnitude,signal
37.410486,-122.059540,122.003380,108.217194,-15.727501,-16.133987,-27.258518,35.365048,11
37.410486,-122.059540,119.710808,105.924622,-15.793755,-15.003010,-27.096317,34.766987,11
37.410486,-122.059540,121.376411,107.590225,-15.578430,-15.219227,-26.496201,34.298119,11
37.410486,-122.059540,121.318504,107.532318,-16.356903,-14.670368,-26.285339,34.259116,11
37.410486,-122.059540,124.483757,110.697571,-16.505966,-13.589287,-27.242294,34.630308,11
37.410487,-122.059537,124.669487,110.883301,-17.731628,-13.123592,-27.080093,34.928080,11
37.410487,-122.059537,127.150406,113.364220,-18.394154,-12.990532,-26.009605,34.403465,11
37.410487,-122.059537,126.675293,112.889107,-17.897266,-12.325249,-26.496193,34.267654,11
37.410487,-122.059537,124.006432,110.220245,-17.831009,-12.857479,-26.658390,34.553284,11
37.410487,-122.059537,123.917915,110.131729,-16.804108,-12.391785,-27.469364,34.503628,11
37.410487,-122.059537,122.157463,108.371277,-15.412811,-11.892826,-28.377651,34.413444,11
37.410487,-122.059537,122.878670,109.092484,-15.595009,-11.942730,-28.231674,34.392739,11
37.410487,-122.059537,122.092491,108.306305,-15.860020,-11.610085,-27.842403,34.081281,11
37.410487,-122.059537,122.312256,108.526070,-15.860020,-11.643349,-28.264107,34.437879,11
37.410488,-122.059536,122.175087,108.388901,-15.694393,-11.776405,-28.199230,34.353956,11
37.410488,-122.059536,122.179497,108.393311,-15.495628,-11.776405,-28.718258,34.692024,11
37.410488,-122.059536,122.721825,108.935638,-14.816547,-12.158947,-28.734478,34.540415,11
37.410488,-122.059536,122.594925,108.808739,-14.584660,-11.327339,-28.118130,33.640008,11
37.410488,-122.059536,121.950180,108.163994,-14.998726,-11.676605,-28.653378,34.384894,11
37.410488,-122.059536,121.959648,108.173462,-14.965595,-11.610081,-28.848013,34.510446,11
37.410488,-122.059536,121.968834,108.182648,-15.031841,-11.610081,-28.653378,34.376828,11
37.410488,-122.059536,124.442566,110.656380,-15.015278,-12.425056,-28.377647,34.425738,11
37.410488,-122.059536,122.842064,109.055878,-15.064960,-11.809662,-28.458740,34.297537,11
37.410488,-122.059536,122.837303,109.051117,-15.197460,-11.876194,-28.620945,34.513262,11
37.410489,-122.059534,122.824356,109.038170,-15.296841,-11.576817,-28.361431,34.240134,11
37.410489,-122.059534,122.813072,109.026886,-15.893108,-11.743141,-28.361423,34.566785,11
37.410489,-122.059534,122.800156,109.013969,-16.207806,-11.659981,-28.183014,34.538824,11
37.410489,-122.059534,122.073318,108.287132,-15.727478,-11.377232,-28.199230,34.234362,11
37.410489,-122.059534,121.156013,107.369827,-15.363094,-11.942722,-28.231667,34.288194,11
37.410489,-122.059534,120.060768,106.274582,-15.826859,-12.175568,-28.004601,34.394644,11
37.410489,-122.059534,120.698387,106.912201,-15.810291,-12.757690,-27.631554,34.296162,11
37.410489,-122.059534,120.356018,106.569832,-15.777164,-13.090336,-27.469360,34.275962,11
37.410489,-122.059534,120.003555,106.217369,-15.959362,-13.772255,-27.128754,34.356157,11
37.410489,-122.059534,121.181519,107.395332,-16.091869,-14.537327,-27.193626,34.781826,11
37.410489,-122.059534,123.074944,109.288757,-15.164352,-15.402191,-26.771923,34.408152,11
37.410489,-122.059534,123.193336,109.407150,-15.445919,-15.817989,-26.269119,34.334412,11
37.410489,-122.059534,124.361649,110.575462,-15.495617,-16.666222,-25.863644,34.450038,11
37.410489,-122.059534,124.230164,110.443977,-16.009071,-16.915699,-25.847424,34.792536,11
37.410489,-122.059534,122.631538,108.845352,-16.174702,-16.483265,-25.879856,34.685529,8
37.410489,-122.059534,122.903221,109.117035,-15.876572,-16.649590,-25.814980,34.578715,8
37.410489,-122.059534,122.748222,108.962036,-15.975948,-16.682854,-25.425705,34.351346,8
37.410489,-122.059534,124.390739,110.604553,-15.793755,-17.264969,-25.279736,34.446870,8
37.410489,-122.059534,125.120850,111.334663,-15.628128,-17.098652,-24.987778,34.073323,8
37.410489,-122.059534,123.733208,109.947021,-15.545319,-16.682854,-25.393272,34.129061,8
37.410489,-122.059534,123.695023,109.908836,-16.174713,-16.882435,-25.620338,34.684863,8
37.410489,-122.059534,123.581635,109.795448,-16.141586,-16.483261,-25.587902,34.452713,8
37.410489,-122.059534,123.476593,109.690407,-16.091900,-16.732742,-25.733883,34.657851,8
37.410489,-122.059534,123.438004,109.651817,-15.644695,-16.716114,-25.523026,34.287167,8
37.410489,-122.059534,123.438690,109.652504,-15.644699,-17.148544,-25.814972,34.716595,6
37.410489,-122.059534,123.499016,109.712830,-15.313431,-16.915691,-25.166191,33.970266,6
37.410489,-122.059534,123.533241,109.747055,-15.744076,-16.982231,-25.847412,34.703902,6
37.410489,-122.059534,123.545296,109.759109,-15.495628,-17.098660,-25.636562,34.492202,6
37.410489,-122.059534,123.572075,109.785889,-15.777199,-16.782642,-25.393269,34.284037,6
37.410489,-122.059534,121.960281,108.174095,-15.926266,-16.133995,-25.896072,34.417413,6
37.410489,-122.059534,121.955681,108.169495,-15.942829,-16.516529,-25.295959,34.159261,6
37.410489,-122.059534,121.993752,108.207565,-15.826889,-16.533161,-24.922905,33.837657,6
37.410489,-122.059534,119.451347,105.665161,-15.578438,-15.485348,-26.171810,34.167929,6
37.410489,-122.059534,119.998390,106.212204,-15.826889,-15.601765,-25.896072,34.124948,6
37.410489,-122.059534,120.015594,106.229408,-15.909702,-15.452084,-26.204243,34.329985,6
37.410489,-122.059534,119.978203,106.192017,-15.595001,-15.302402,-26.220467,34.130345,6
37.410489,-122.059534,119.910118,106.123932,-15.876575,-15.052925,-26.106934,34.062122,6
37.410489,-122.059534,119.822136,106.035950,-15.860016,-14.936501,-26.285351,34.140281,6
37.410489,-122.059534,119.777580,105.991394,-15.296875,-15.235874,-26.674614,34.317070,6
37.410489,-122.059534,119.745094,105.958908,-15.462505,-15.269135,-26.836807,34.531866,6
37.410489,-122.059534,118.710838,104.924652,-15.379696,-14.820072,-26.171806,33.780661,6
37.410489,-122.059534,118.089943,104.303757,-15.644707,-14.886604,-26.723267,34.358417,6
37.410489,-122.059534,118.975319,105.189133,-16.009094,-15.219238,-26.334000,34.371439,6
37.410489,-122.059534,118.964111,105.177925,-15.164383,-14.969761,-27.063881,34.445695,6
37.410489,-122.059534,118.976479,105.190292,-15.015312,-15.252506,-26.398891,33.985291,6
37.410489,-122.059534,118.983986,105.197800,-15.677830,-15.086182,-26.593521,34.359898,6
37.410489,-122.059534,118.940887,105.154701,-15.909714,-15.152714,-26.885475,34.721067,6
37.410489,-122.059534,119.932678,106.146492,-15.114685,-15.352291,-26.171810,33.898528,6
37.410489,-122.059534,120.626595,106.840408,-14.766861,-15.501980,-26.447552,34.027115,6
37.410489,-122.059534,119.616814,105.830627,-15.064983,-15.501987,-26.609745,34.283288,6
37.410489,-122.059534,119.662453,105.876266,-14.965611,-15.701569,-26.415115,34.179922,6
37.410489,-122.059534,119.695213,105.909027,-15.015308,-15.285770,-26.496208,34.075846,6
37.410489,-122.059534,119.636772,105.850586,-15.048428,-14.520695,-26.593525,33.830775,6
37.410489,-122.059534,119.606445,105.820259,-14.915928,-15.319038,-26.301575,33.895880,6
37.410489,-122.059534,119.594368,105.808182,-15.131248,-14.869980,-26.447556,33.904928,6
37.410489,-122.059534,119.584343,105.798157,-15.098125,-15.501995,-26.544868,34.247559,6
37.410489,-122.059534,119.563744,105.777557,-15.247189,-15.219242,-26.593525,34.224518,6
37.410489,-122.059534,119.527885,105.741699,-15.230629,-15.302406,-26.447548,34.141009,6
37.410489,-122.059534,119.498070,105.711884,-15.114689,-15.119453,-26.301575,33.894314,6
