lat,lng,trueNorth,magNorth,magX,magY,magZ,magnitude,signal
37.410491,-122.059542,154.552124,140.765945,-15.373795,-22.022980,-15.053932,30.789382,14
37.410493,-122.059543,153.842194,140.056015,-16.069496,-22.222576,-15.021481,31.268458,14
37.410493,-122.059543,154.448990,140.662811,-15.903851,-22.488712,-15.118816,31.420586,14
37.410493,-122.059543,153.996277,140.210098,-15.854156,-22.039604,-15.070148,31.051696,14
37.410493,-122.059543,154.500168,140.713989,-15.456623,-22.139404,-15.524372,31.145891,14
37.410493,-122.059543,155.532043,141.745865,-15.307541,-22.388912,-14.989040,30.987990,14
37.410493,-122.059543,153.346985,139.560806,-15.909855,-21.183392,-15.095894,30.491730,14
37.410493,-122.059543,153.305283,139.519104,-15.976105,-21.382996,-15.160782,30.697194,14
37.410493,-122.059543,153.126343,139.340164,-16.373638,-21.482800,-14.933678,30.864566,14
37.410493,-122.059543,153.058029,139.271851,-15.942978,-21.116859,-14.868790,30.350967,14
37.410493,-122.059543,152.830185,139.044006,-16.009235,-21.649139,-14.868793,30.758119,14
37.410494,-122.059543,153.320953,139.534775,-16.174877,-21.715675,-14.155041,30.554253,14
37.410494,-122.059543,153.287994,139.501816,-16.108620,-21.682407,-14.122597,30.480521,14
37.410494,-122.059543,153.906204,140.120026,-16.025799,-21.965183,-14.138821,30.646399,14
37.410494,-122.059543,153.798157,140.011978,-16.638668,-21.516075,-14.122601,30.646935,14
37.410494,-122.059543,152.375504,138.589325,-16.241135,-21.549343,-14.122597,30.456467,14
37.410494,-122.059543,151.089188,137.303009,-16.820873,-21.233311,-14.560589,30.753959,14
37.410494,-122.059543,151.133621,137.347443,-16.307392,-21.150139,-14.966129,30.614448,14
37.410494,-122.059543,150.995499,137.209320,-16.572414,-21.116875,-14.479473,30.499548,14
37.410494,-122.059543,150.305634,136.519455,-16.936817,-21.083611,-14.933685,30.893193,14
37.410494,-122.059543,150.348007,136.561829,-16.953384,-21.066975,-14.625481,30.743119,14
37.410494,-122.059543,150.355728,136.569550,-16.622101,-20.767570,-14.625481,30.356069,14
